"","ale","county_name","state_abbr","population_size","population_density","poverty","age_19_under","age_19_64","age_65_84","age_85_and_over","white","black","native_american","asian","hispanic","all_death","health_status","unhealthy_days","no_exercise","few_fruit_veg","obesity","high_blood_pres","smoker","diabetes","uninsured","elderly_medicare","disabled_medicare","prim_care_phys_rate","dentist_rate","no_hs_diploma","unemployed","sev_work_disabled","major_depression","recent_drug_use"
"293",75.7,"Prowers","CO",13892,8,17.4,31.1,55.9,10.8,2.2,96.8,0.6,1.5,0.7,37.2,884,-1111.1,6.8,-1111.1,-1111.1,-1111.1,-1111.1,14.1,9.3,3277,1756,300,72,50.4,2327,380,423,922,1083
"294",76.8,"Pueblo","CO",151322,63,15.2,26.3,58.9,12.6,2.2,93.7,2.2,1.9,0.9,38.5,880.1,15.9,7.3,22.7,78.8,22.6,28.8,24.2,9,26093,20918,5046,86.6,49.6,18366,4649,4569,10704,11787
"295",78.5,"Rio Blanco","CO",5973,2,9.2,25.9,61.6,11.2,1.2,97.8,0.2,0.9,0.4,5.8,871.1,12.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7,958,691,109,67,67,444,145,114,427,489
"296",76.5,"Rio Grande","CO",12227,13,16.6,27,57.4,13.3,2.3,96.7,0.8,1.6,0.5,37.4,891.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,17,-1111.1,3061,1752,316,49.1,40.9,1716,388,386,858,951
"297",78.5,"Routt","CO",21313,9,6.3,21.5,72.6,5.5,0.4,97.7,0.5,0.5,0.5,3.7,748.7,2.2,3.5,10.8,-1111.1,10.9,16.3,16.9,0.7,2581,1126,158,107.9,42.2,709,540,509,1602,1649
"298",76.5,"Saguache","CO",7031,2,20.5,27.2,62.9,8.7,1.3,96.4,0.2,2.2,0.6,45.4,813.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1673,676,124,14.2,0,1341,227,202,492,556
"299",74.8,"San Juan","CO",577,1,13.4,17.1,74.3,8,0.7,98.1,0,1.2,0.7,8.8,1354.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,155,54,12,0,0,35,38,20,46,42
"300",80.8,"San Miguel","CO",7213,6,8.7,17.8,78.3,3.6,0.3,97.4,0.3,0.8,1.2,8.7,591.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,951,278,29,124.8,27.7,354,228,207,564,516
"301",77.9,"Sedgwick","CO",2529,5,11.1,23.3,53.7,19.6,3.4,98,0.6,0,1.1,13.6,948.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.3,505,606,68,79.1,79.1,370,52,76,185,181
"302",81.3,"Summit","CO",24892,41,6.4,18.8,76.6,4.3,0.3,97.1,0.9,0.4,0.9,13.1,435.5,5.9,3.4,10.2,-1111.1,7,11.4,17,0.6,3707,1041,104,116.5,48.2,1236,655,657,1924,1880
"303",78.2,"Teller","CO",21918,39,7.6,23.8,66.9,8.7,0.6,95.8,1,1,0.7,4.5,770.9,7.6,4.9,16.9,76.6,9.1,-1111.1,20.7,5.2,2930,1866,394,63.9,36.5,900,626,538,1602,1673
"304",77.9,"Washington","CO",4633,2,10.8,24.4,56.5,17,2.1,98.9,0.1,0.7,0.1,7.5,858.2,-1111.1,-1111.1,-1111.1,-1111.1,11.4,-1111.1,-1111.1,-1111.1,935,817,62,0,21.6,576,110,116,336,352
"305",78.5,"Weld","CO",228943,57,10.3,29,62.6,7.2,1.1,95.8,0.8,1,1.2,27.5,811.6,15.1,5.8,24.5,78.4,22,20.3,17.7,4.8,32985,16347,3033,55.9,23.1,28159,5574,5254,15646,18793
"306",77.9,"Yuma","CO",9789,4,12.1,27.8,56.1,13.4,2.6,99.1,0.2,0.3,0.1,18.4,835.2,14.9,4.6,-1111.1,89.5,13.8,-1111.1,-1111.1,3.7,1977,1510,130,112.4,30.6,1291,199,264,680,741
"307",79.2,"Fairfield","CT",902775,1443,7.3,26.5,60.4,10.8,2.2,83.7,10.7,0.3,4.2,13.8,705.3,12.3,5.2,20.6,70.3,16.3,24,16.4,5.1,87577,112954,11885,129.9,74.7,94167,20249,17472,61937,56172
"308",77.8,"Hartford","CT",877393,1193,9.2,24.9,60.9,11.6,2.6,81.6,13.3,0.3,3.4,12.5,753.4,11.8,5.5,21.1,70.6,19.2,25.2,18.3,6.3,95398,122061,18369,130,79.7,104391,23897,13885,61574,56940
"309",78.8,"Litchfield","CT",190071,207,5.5,23.2,62.4,11.7,2.7,96,1.4,0.2,1.4,3.1,736.8,11.5,5.8,19.4,69.2,17.7,23.7,18.2,5.8,14599,25936,3558,77.3,51,18746,4704,3755,13616,12125
